text,id,length,has_url,has_phone,label
"야, 내일 저녁에 모임 있는데, 필요하면 <PHONE>으로 연락해! ㅎㅎ 같이 가자~",ham_inf_1,47,0,1,0
어제 술자리 너무 재밌었지? 다음엔 같이 가면 좋겠다~ 연락은 여기 <PHONE>으로 해줘! ㅎㅎ,ham_inf_2,54,0,1,0
"이번 주말에 교환학생들 모임하는데, 자세한 건 여기서 확인해봐 <URL>! 꼭 와~😊",ham_inf_3,47,1,0,0
"야, 저번에 얘기한 그 맛집 위치 알고 싶은데, 카톡에 URL 보내줄 수 있어? 그리고 혹시 주말에 전화 한 번 할 수 있어? <PHONE>으로! 😊",ham_inf_4,83,1,1,0
"야, 이번 주말에 저기 괜찮은 카페 발견했는데, 같이 가서 커피 한잔 할까? <URL> 볼래? 그리고 혹시 시간 맞으면 <PHONE>으로 연락 줘! ㅋㅋ",ham_inf_5,85,1,1,0
"야, 우리 모임 날짜 헷갈려서 그런데, <PHONE>으로 한 번만 확인해줄래? ㅎㅎ 송년회 너무 기대돼!",ham_inf_6,58,0,1,0
"야, 오늘 저녁 뭐 할 건데? 여기 재밌는 영화 예매했어! 보고 싶으면 <URL> 들어가서 확인해봐~ 그리고 혹시 나한테 전화해줄래? 번호는 <PHONE>이야! ㅎㅎ",ham_inf_7,92,1,1,0
"요즘 핫한 카페 추천해줄게, 여기 링크 봐봐! <URL> 맛있어 보이잖아 ㅎㅎ",ham_inf_8,43,1,0,0
"야! 이번 주 토요일에 모임 있는데, 참석할 사람들 확인하려고 하는데 <PHONE>으로 연락해줘. 그리고 여기 링크도 확인해봐 <URL>! 😊",ham_inf_9,79,1,1,0
"이번 주 주말에 영화 보러 가려는데, 전화로 미리 예매해야 할 것 같아서 <PHONE>으로 문의해봐! ㅎㅎ",ham_inf_10,59,0,1,0
"요즘 시간이 너무 없어서 그러는데, 혹시 주말에 시간 괜찮으면 여기에 가서 같이 놀자~ https://example.com 그리고 내 번호는 010-1234-5678이야! ㅎㅎ",ham_inf_11,98,1,1,0
그냥 요즘 어떻게 지내? 요즘 문자 많이 안 해서 전화 좀 해줘~ <PHONE> 번호 바뀌었으면 알려줘! ㅎㅎ,ham_inf_12,61,0,1,0
"야, 내 블로그에 최근에 올린 글이랑 사진들의 링크 보내줄게! 여기 봐줘~ <URL>  재밌게 봐! 😊",ham_inf_13,57,1,0,0
"어제 저녁 생각나서 그 식당 사이트 찾아봤는데, 메뉴도 좋고 가격도 괜찮더라! 한번 가보자~ <URL> 대화 중에 막 그런 얘기도 했으니까, 네가 뭔가 더 궁금한 점 있으면 언제든지 물어봐~ 또 그리고 전화번호는 <PHONE>이니 참고해! 👌😊",ham_inf_14,136,1,1,0
어제 본 영화 정말 재밌었어! 추천해주신 <URL> 여기서 예고편도 보고 또 한 번 볼까 싶어 ㅎㅎ,ham_inf_15,55,1,0,0
"요즘 진짜 심심한데, 지난 주에 갔던 카페 여기 들어가봐 <URL> 찾아가는 길도 예쁘던데~ ☕️✨",ham_inf_16,55,1,0,0
"이번 주 토요일에 모임 잊지 말고, 자세한 내용은 여기서 확인해줘 <URL> 같이 전화도 한 번 해보자 <PHONE> ㅎㅎ",ham_inf_17,68,1,1,0
"이번 주 토요일에 치킨 먹으러 가자는 건데, 메뉴 보고 싶으면 여기에서 확인해봐! <URL> 그리고 혹시 내 번호가 필요하면 <PHONE>으로 연락해! ㅎㅎ",ham_inf_18,87,1,1,0
"야, 요새 날도 좋아서 나랑 같이 놀러 가고 싶은데, 여기 <URL> 가게 완전 좋대! 시간 되면 전화해줘 <PHONE>! 😄",ham_inf_19,70,1,1,0
"오늘 저녁에 영화 보러 갈 건데, 혹시 너도 같이 갈래? 예매 링크는 여기 있어! <URL> 그리고 혹시 연락할 전화번호도 좀 알려줘! <PHONE> 🤗",ham_inf_20,85,1,1,0
어제 봤던 그 맛집 URL 찾아줬어! <URL> 출장 다녀오면 같이 가자~ 연락은 <PHONE>으로 해줘! 😊,ham_inf_21,61,1,1,0
오늘 저녁 뭐할까? <PHONE>으로 연락 줘 ㅎㅎ 궁금해!,ham_inf_22,33,0,1,0
"오늘 맛있는 카페 발견했어! 여기 보니까 <URL>에서 메뉴도 확인할 수 있어, 진짜 추천해~ 😋",ham_inf_23,54,1,0,0
"이번 주말에 놀러 가고 싶은데, 여기 링크 한 번 보고 결정해봐! <URL> 재밌을 것 같아~ 😊",ham_inf_24,54,1,0,0
어제 그 식당 너무 맛있었지? 다음에 같이 가자! <PHONE>으로 언제 시간이 좋으니? ㅎㅎ,ham_inf_25,52,0,1,0
오늘 나랑 저녁 먹고 싶은 거 있으면 <URL> 들어와서 메뉴 봐봐~ ㅎㅎ 고기 사실 거면 미리 예약도 해야 해!,ham_inf_26,63,1,0,0
"야, 너 다음 주에 만날 때 내 생일 선물로 이 사이트에서 괜찮은 걸 사줘! <URL> 이거 진짜 맘에 들어~ 그리고 혹시 전화번호도 알림? <PHONE> 연락하기 편하게~ 😊",ham_inf_27,98,1,1,0
"야, 나 이번 주말에 영화 보러 가는데, 예매는 여기서 해 https://example.com/ 이거 들어가서 확인해봐! ㅎㅎ",ham_inf_28,70,1,0,0
주말에 놀러 가기로 한 거 기억하지? <PHONE>으로 연락해줘서 시간 조율하자~! 😊,ham_inf_29,48,0,1,0
"야, 이번 주말에 놀러 갈 건데 이거 보고 결정해줘! 링크는 여기 있어 <URL>, 그리고 연락은 언제든 <PHONE>으로 해! ㅎㅎ",ham_inf_30,74,1,1,0
지난주에 갔던 카페 진짜 맛있어서 나중에 가보면 좋겠다! 주소는 <PHONE>에 있어~ 시간 나면 같이 가자 ㅎㅎ,ham_inf_31,63,0,1,0
"주말에 놀러 갈 거니까, 여기서 정보 좀 확인해봐 <URL>! 궁금한 것 있으면 전화해줘 <PHONE>~ 😊",ham_inf_32,60,1,1,0
"요즘 날씨 좋아서 바람 쐬러 가고 싶은데, 너도 같이 가고 싶으면 여기 링크 확인해봐~ <URL> ㅎㅎ",ham_inf_33,57,1,0,0
"헤이, 이번 주말 뭐 할 건지 궁금한데, 저 링크에서 추천 좋은 곳 찾아봤어! <URL> 같이 놀러 가자~ 😊",ham_inf_34,61,1,0,0
"오늘 술 마실 건데, 여기서 예약하면 돼! <URL> 저녁 8시쯤 어때? 갈 수 있어? <PHONE> ㅋㅋ",ham_inf_35,59,1,1,0
이번 주 토요일에 만날 때 <PHONE>으로 연락해줘! 시간 잘 맞춰서 놀자~ ㅎㅎ,ham_inf_36,46,0,1,0
"야, 다음 주에 우리 모임 할 건데 너 번호 좀 알려줄 수 있어? <PHONE> 이렇게 보내줘~ ㅎㅎ",ham_inf_37,56,0,1,0
"야, 이따 7시에 만날 건데, <PHONE>으로 다시 확인해줘! ㅋㅋ 이번엔 늦지 말자~ 😊",ham_inf_38,51,0,1,0
"내가 어제 찾은 카페 진짜 맛있던데, 여기 링크 있어 <URL> 보고 같이 가자~~ 궁금해서 전화해볼까? <PHONE> ㅋㅋ",ham_inf_39,69,1,1,0
오늘 저녁에 맥주 한 잔 하자~ 어디서 만날지 정하고 번호 좀 보내줘 <PHONE> ㅎㅎ,ham_inf_40,49,0,1,0
"야, 나 오늘 저녁에 영화 보러 가는데 같이 갈래? 괜찮으면 문자로 알려줘 <PHONE>😊",ham_inf_41,50,0,1,0
"야, 이번 주말에 영화 보러 갈 건데, 예매하려면 여기 링크 보고 해줘 <URL> 혹시 전화로도 궁금한 거 있으면 이 번호로 나한테 연락해 <PHONE> ㅎㅎ!",ham_inf_42,89,1,1,0
"요즘 진짜 재밌는 사이트 발견했어! 여기서 시간 가는 줄 모르고 놀았는데, 궁금하면 <URL> 한번 가봐~ 😄",ham_inf_43,61,1,0,0
이번 주에 모임인데 시간이 좀 애매해서 여기 확인해봐 <URL>! 다들 오면 좋겠다~ 😊,ham_inf_44,49,1,0,0
너 요즘 어떻게 지내? 나 이거 보고 너무 웃겨서 공유해! <URL> 재밌는 거 많으니까 한번 봐봐~ 그리고 혹시 궁금한 거 있으면 전화해 <PHONE>!,ham_inf_45,86,1,1,0
"이번 주말에 놀러 가는 거 잊지 말고, 여기 링크 확인해봐 <URL>! 그리고 나중에 연락해줘, 내 번호는 <PHONE>이야~ㅎㅎ",ham_inf_46,72,1,1,0
"야, 주말에 맛있게 먹었던 그 가게 네가 가보라고 보낼게! <URL> 그래서 또 전화해볼까? <PHONE> ㅎㅎ",ham_inf_47,62,1,1,0
"이번 주말에 새로 생긴 카페 가보고 싶은데, 주소는 여기야 <URL> 근데 미리 예약하려면 전화해야 된대, 전화번호는 <PHONE>야! 너도 같이 가자~ 😊",ham_inf_48,87,1,1,0
"요즘 진짜 존버 중인데, 토요일에 시간 괜찮으면 <PHONE>으로 연락줘~ 같이 놀러가자! 😊",ham_inf_49,52,0,1,0
"야, 내일 저녁에 모임 있어! 시간 되면 여기 링크 보고 와줘~ <URL> ㅎㅎ 가능하면 진짜 왔으면 좋겠다!",ham_inf_50,61,1,0,0
"야, 이 사이트에서 할인하는 거 찾았어! 꼭 봐봐 <URL> ㅋㅋ 나도 지금 살까 고민 중이니까!!",ham_inf_51,55,1,0,0
어제 친구랑 갔던 카페 진짜 좋았어! 여기 주소야 <URL> 다음에 같이 가자~ 전화도 해봐야겠다! <PHONE> ㅎㅎ,ham_inf_52,66,1,1,0
