text,id,length,has_url,has_phone,label
퇴직금을 입금하면 최대 30%를 무료로 저축해드려요! 한정 이벤트로 지금 바로 확인하세요! <URL> <PHONE>,C007741,64,1,1,1
퇴직금으로 큰돈 저축 혜택을 놓치지 마세요! 한정 기회로 제공되는 이 기회를 통해 퇴직 후 안정적인 미래를 준비하세요. 자세한 내용은 <URL> 방문해보세요! <PHONE>으로 문의하셔도 됩니다.,C007742,109,1,1,1
퇴직금을 넣으면 추가 혜택이 가득! 지금 <URL>에서 자세히 확인하고 선착순으로 특별한 보너스를 받아보세요! <PHONE>으로 문의하면 더 많은 정보도 드려요.,C007743,90,1,1,1
"퇴직금을 부으면 최대 50% 더 저축되는 기회를 놓치지 마세요! 지금 <URL>에서 자세한 내용을 확인하고, <PHONE>으로 문의해 보세요!",C007744,79,1,1,1
지금 가입하시면 무료 혜택이 가득! 한정 이벤트 참여하고 <URL>에서 더 많은 정보 확인하세요. 궁금한 점은 <PHONE>으로 연락해 주세요!,C007761,80,1,1,1
🎉한정 무료 혜택! 지금 <URL> 클릭하고 특별한 선물을 받아가세요! 선착순 100명에 한해 무료 제공! 전화 문의는 <PHONE>로!,C007762,76,1,1,1
긴급! 무료 선착순 혜택! 지금 바로 <URL>에 가입하면 특별한 선물이 당신을 기다리고 있어요! <PHONE>으로 문의해 주세요!,C007763,73,1,1,1
긴급! 지금 가입하면 무료 혜택이 가득! <URL> 문의는 <PHONE>으로 주세요.,C007764,47,1,1,1
🎉 오늘 하루! 한정 수량으로 인기 음식 50% 할인! ⏳ 서두르세요! <URL> 문의는 <PHONE>으로!,C007773,60,1,1,1
🚨 한정 이벤트! 지금 주문하면 모든 메뉴 50% 할인! 🍔🍕 놓치지 마세요! 더 많은 정보는 <URL>에서 확인하세요. 궁금한 점은 <PHONE>으로 문의!,C007774,88,1,1,1
한정 수량! 지금 주문하면 50% 할인 혜택을 드려요. 기회를 놓치지 마세요! 자세한 내용은 <URL>에서 확인하세요. <PHONE>으로 문의도 가능해요.,C007775,86,1,1,1
🎉🎉 한정 기간 동안 인기 음식 50% 할인! 지금 바로 확인하세요! 👉 <URL> <PHONE>,C007776,54,1,1,1
"📚 지금 바로 <URL>에서 한 달 무료 전자도서 이용권을 받아보세요! 읽고 싶은 책이 가득해요. 서두르세요, 한정 혜택입니다! 📖 <PHONE>으로 문의하세요.",C007785,90,1,1,1
책 사랑하는 당신을 위한 특별 혜택! 📚 이북 홈피에서 한 달 동안 무료로 이용해보세요. 지금 바로 <URL>에 방문해 보세요! 궁금한 점은 <PHONE>으로 문의!,C007786,92,1,1,1
"📚 전자책을 사랑하는 당신을 위해, 한 달간 무료 이용권을 드려요! 지금 <URL>에서 신청하고 다양한 책을 마음껏 즐겨보세요! 📖 상담이 필요하다면 <PHONE>으로 연락주세요.",C007787,100,1,1,1
안녕하세요! 독서광인 당신을 위해 특별히 한 달 무료 구독권을 드려요! <URL>에서 지금 바로 신청하고 다양한 책들을 만나보세요. <PHONE>으로 문의 주시면 더 많은 혜택도 알려드릴게요!,C007788,107,1,1,1
"과학을 잘 몰라도 걱정 마세요! 신나는 과학 박람회에서 무료로 흥미진진한 체험을 해보세요! 지금 바로 <URL>에서 자세히 확인하고, <PHONE>으로 문의하세요!",C007789,91,1,1,1
과학 박람회에 무료 참여 기회를 드립니다! 부족한 지식 걱정하지 마세요. 새로운 경험과 즐거움을 함께 나누세요! 자세한 내용은 <URL>를 확인해 주세요. 문의는 <PHONE>으로!,C007790,101,1,1,1
